Order_ID,Date,Brand,Model_Name,Laptop_Type,City,State,Quantity,Unit_Price,Unit_Cost,Revenue,Profit
43,2023-05-11,HP,Envy x360,Business,Chandigarh,Delhi,3,142988,115019,428964,83907
44,2023-07-20,Apple,MacBook Air M1,Business,Chennai,Karnataka,2,51759,38884,103518,25750
45,2023-10-11,HP,Pavilion 14,Gaming,Kolkata,Tamil Nadu,1,115843,88451,115843,27392
46,2023-03-09,Lenovo,IdeaPad 3,2-in-1,Delhi,West Bengal,2,160648,113860,321296,93576
47,2025-04-09,HP,Victus 16,Gaming,Chennai,Telangana,2,98672,65641,197344,66062
48,2023-11-27,Samsung,Galaxy Book2,Ultrabook,Delhi,Telangana,3,104781,84383,314343,61194
49,2022-10-11,Dell,Latitude 5420,Gaming,Chennai,Karnataka,5,42394,31365,211970,55145
50,2023-12-28,Acer,Predator Helios 300,Student,Chennai,Karnataka,1,126556,87397,126556,39159
51,2025-12-12,Dell,G15,Workstation,Bengaluru,Telangana,2,70269,53469,140538,33600
52,2022-12-30,HP,Envy x360,Business,Kolkata,West Bengal,1,153245,120930,153245,32315
53,2024-08-28,Dell,G15,Gaming,Chandigarh,Telangana,5,100857,73781,504285,135380
54,2024-03-25,Apple,MacBook Air M1,Business,Chennai,West Bengal,4,156722,130935,626888,103148
55,2024-10-15,Lenovo,Legion 5,Student,Bengaluru,Telangana,5,88652,68579,443260,100365
56,2022-06-03,Asus,ROG Strix G15,Ultrabook,Ahmedabad,West Bengal,4,44721,31641,178884,52320
57,2025-12-15,Apple,MacBook Air M2,2-in-1,Bengaluru,Punjab,2,157542,125120,315084,64844
58,2022-04-16,Samsung,Galaxy Book2,Ultrabook,Delhi,Delhi,3,158892,129452,476676,88320
59,2022-10-18,Apple,MacBook Pro 14,Ultrabook,Hyderabad,Karnataka,1,75322,50636,75322,24686
60,2023-11-18,Dell,G15,Ultrabook,Pune,Rajasthan,5,57260,39564,286300,88480
61,2024-09-06,Asus,ROG Strix G15,Student,Bengaluru,Rajasthan,2,84374,66735,168748,35278
62,2022-10-10,Acer,Nitro 5,Workstation,Chandigarh,Punjab,2,59425,44893,118850,29064
63,2025-05-20,Asus,ROG Strix G15,Gaming,Chandigarh,Punjab,4,62494,41048,249976,85784
64,2025-02-27,MSI,Katana GF66,Student,Chandigarh,Maharashtra,5,55719,41109,278595,73050
65,2023-04-30,HP,EliteBook 840,Workstation,Jaipur,Delhi,4,165650,114776,662600,203496
66,2026-02-16,Asus,ROG Strix G15,2-in-1,Jaipur,Maharashtra,1,129470,99665,129470,29805
67,2025-05-09,HP,Envy x360,2-in-1,Chandigarh,Rajasthan,3,79611,52962,238833,79947
68,2022-06-18,Acer,Swift 3,Business,Mumbai,Tamil Nadu,2,77758,62449,155516,30618
69,2025-11-25,MSI,Stealth 15M,Ultrabook,Ahmedabad,West Bengal,4,93885,69466,375540,97676
70,2023-04-27,Acer,Nitro 5,Student,Chennai,Rajasthan,4,82153,66858,328612,61180
71,2024-04-03,Asus,ZenBook 14,Workstation,Chandigarh,Tamil Nadu,4,40069,30750,160276,37276
72,2022-04-03,Dell,XPS 13,Workstation,Kolkata,Delhi,5,103361,77390,516805,129855
73,2023-02-02,MSI,Stealth 15M,Student,Pune,Maharashtra,4,65826,49619,263304,64828
74,2022-04-17,Asus,ZenBook 14,Business,Pune,Maharashtra,5,63532,42786,317660,103730
75,2022-07-13,MSI,Stealth 15M,Gaming,Ahmedabad,Rajasthan,1,111526,82105,111526,29421
76,2023-07-02,HP,EliteBook 840,Workstation,Delhi,Karnataka,2,90789,70870,181578,39838
77,2023-09-27,Asus,TUF F15,Business,Bengaluru,Punjab,5,173698,122526,868490,255860
78,2025-07-30,HP,Pavilion 14,Business,Hyderabad,Telangana,4,45566,37216,182264,33400
79,2025-08-30,Asus,VivoBook 15,Workstation,Chennai,Tamil Nadu,4,146855,124235,587420,90480
80,2024-09-15,HP,EliteBook 840,2-in-1,Ahmedabad,Telangana,5,150887,102619,754435,241340
81,2022-02-21,Lenovo,Legion 5,Ultrabook,Delhi,Karnataka,3,108199,81257,324597,80826
82,2022-03-27,MSI,GF63 Thin,Ultrabook,Ahmedabad,Punjab,4,168033,116402,672132,206524
83,2025-08-25,Samsung,Galaxy Book3,Business,Pune,Maharashtra,1,62350,46604,62350,15746
84,2022-10-08,Apple,MacBook Air M2,2-in-1,Kolkata,Maharashtra,2,85404,72569,170808,25670
85,2023-12-28,MSI,Stealth 15M,2-in-1,Chennai,Telangana,5,112209,76284,561045,179625
86,2024-07-21,Asus,TUF F15,2-in-1,Hyderabad,Gujarat,4,96887,80232,387548,66620
87,2026-03-01,Asus,ZenBook 14,Workstation,Pune,Tamil Nadu,3,107360,90506,322080,50562
88,2022-05-26,Lenovo,IdeaPad 3,Student,Chennai,Tamil Nadu,1,43629,35041,43629,8588
89,2026-01-06,HP,EliteBook 840,Workstation,Pune,West Bengal,2,159445,107098,318890,104694
90,2022-07-15,Dell,XPS 13,Ultrabook,Mumbai,Rajasthan,5,179764,125820,898820,269720
91,2023-02-25,Lenovo,ThinkPad E14,Student,Chennai,Telangana,3,89090,68483,267270,61821
92,2022-01-01,MSI,Stealth 15M,Workstation,Mumbai,Punjab,2,75069,58199,150138,33740
93,2023-09-02,Apple,MacBook Pro 16,Business,Mumbai,Punjab,1,101174,69307,101174,31867
94,2025-07-31,Acer,Predator Helios 300,Gaming,Chandigarh,Maharashtra,4,43350,29055,173400,57180
95,2023-03-14,Dell,Inspiron 15,Gaming,Chandigarh,Delhi,3,61747,48641,185241,39318
96,2022-09-24,Apple,MacBook Air M2,2-in-1,Delhi,Rajasthan,1,71380,57855,71380,13525
97,2023-03-08,MSI,Stealth 15M,Workstation,Hyderabad,Delhi,3,95692,68823,287076,80607
98,2022-07-01,Apple,MacBook Pro 14,Workstation,Jaipur,Rajasthan,4,81178,53395,324712,111132
99,2024-03-29,Dell,XPS 13,2-in-1,Pune,West Bengal,2,82316,66236,164632,32160
100,2025-11-12,Asus,ROG Strix G15,Business,Kolkata,Punjab,3,97647,70947,292941,80100
101,2023-06-20,Samsung,Galaxy Book3,2-in-1,Bengaluru,Maharashtra,4,100136,69260,400544,123504
102,2023-09-11,Dell,G15,Student,Kolkata,Gujarat,5,159182,123480,795910,178510
103,2022-10-28,Apple,MacBook Air M2,Ultrabook,Ahmedabad,West Bengal,1,124085,102239,124085,21846
104,2023-07-09,Lenovo,IdeaPad 3,Business,Chennai,Delhi,5,46045,37224,230225,44105
105,2022-08-12,Asus,TUF F15,Workstation,Chennai,Gujarat,1,117151,87352,117151,29799
106,2025-01-01,Asus,ROG Strix G15,Business,Jaipur,Telangana,2,54383,38367,108766,32032
107,2023-07-24,Samsung,Galaxy Book2,Student,Hyderabad,Karnataka,4,176058,149503,704232,106220
108,2023-10-21,Samsung,Galaxy Book2,Business,Chennai,Delhi,3,94125,73870,282375,60765
109,2022-01-03,Asus,ZenBook 14,Ultrabook,Chandigarh,Tamil Nadu,1,42489,31907,42489,10582
110,2024-05-29,Acer,Predator Helios 300,Student,Jaipur,West Bengal,1,166769,134863,166769,31906
111,2024-10-30,Asus,ZenBook 14,Ultrabook,Jaipur,Telangana,5,124393,93527,621965,154330
112,2022-02-17,Acer,Aspire 7,Business,Chennai,Gujarat,3,158755,106231,476265,157572
113,2024-04-02,Asus,VivoBook 15,Ultrabook,Kolkata,Gujarat,2,58830,49453,117660,18754
114,2023-07-15,HP,EliteBook 840,2-in-1,Delhi,Karnataka,2,171553,115602,343106,111902
115,2025-11-30,HP,Pavilion 14,Student,Kolkata,Maharashtra,5,175393,128420,876965,234865
116,2025-06-05,HP,Pavilion 14,Student,Mumbai,Karnataka,5,111244,86484,556220,123800
117,2023-11-13,Acer,Aspire 7,Ultrabook,Hyderabad,West Bengal,5,138606,105785,693030,164105
118,2022-12-14,HP,EliteBook 840,Gaming,Chennai,Karnataka,5,149186,102628,745930,232790
119,2025-09-30,HP,Pavilion 14,Student,Hyderabad,Tamil Nadu,3,152279,121726,456837,91659
120,2022-05-27,Lenovo,Yoga Slim 7,Gaming,Jaipur,Gujarat,5,81029,64393,405145,83180
121,2023-04-09,Lenovo,Legion 5,Student,Pune,Karnataka,5,90864,62756,454320,140540
122,2024-10-22,Samsung,Galaxy Book Pro,Ultrabook,Hyderabad,Maharashtra,1,130341,92569,130341,37772
123,2025-12-08,Lenovo,IdeaPad 3,Gaming,Hyderabad,Karnataka,1,45187,36585,45187,8602
124,2024-04-22,Apple,MacBook Pro 16,Business,Mumbai,Tamil Nadu,5,100129,83723,500645,82030
125,2022-05-10,Dell,XPS 13,2-in-1,Mumbai,Rajasthan,3,117364,81334,352092,108090
126,2022-11-21,Lenovo,ThinkPad E14,Ultrabook,Hyderabad,Punjab,5,54392,36628,271960,88820
127,2024-11-10,MSI,GF63 Thin,2-in-1,Delhi,West Bengal,3,59624,39406,178872,60654
128,2024-09-20,Apple,MacBook Air M1,Gaming,Delhi,Maharashtra,5,122641,84639,613205,190010
129,2025-06-09,Lenovo,ThinkPad E14,Ultrabook,Chennai,Maharashtra,3,117461,78841,352383,115860
130,2025-06-30,Asus,ZenBook 14,Ultrabook,Chennai,Rajasthan,3,95093,72235,285279,68574
131,2023-07-06,MSI,GF63 Thin,Student,Kolkata,Delhi,1,136825,99288,136825,37537
132,2025-01-06,Samsung,Galaxy Book Pro,Ultrabook,Jaipur,Delhi,5,74735,63260,373675,57375
133,2023-07-01,Asus,ROG Strix G15,Workstation,Ahmedabad,Rajasthan,4,94967,70854,379868,96452
134,2022-10-13,HP,EliteBook 840,2-in-1,Chennai,Delhi,3,148304,110390,444912,113742
135,2022-12-31,Lenovo,ThinkPad E14,Student,Chennai,Tamil Nadu,4,90296,73210,361184,68344
136,2025-06-27,Lenovo,Legion 5,2-in-1,Jaipur,Delhi,2,58518,49665,117036,17706
137,2025-01-19,Acer,Nitro 5,Ultrabook,Chandigarh,Punjab,1,170253,135827,170253,34426
138,2022-01-27,MSI,GF63 Thin,2-in-1,Hyderabad,Karnataka,2,51142,35093,102284,32098
139,2022-09-18,MSI,Katana GF66,Ultrabook,Bengaluru,Telangana,4,139384,91014,557536,193480
140,2025-06-06,Apple,MacBook Pro 16,Ultrabook,Hyderabad,Tamil Nadu,1,130859,98035,130859,32824
141,2025-07-12,Dell,Latitude 5420,Workstation,Mumbai,Tamil Nadu,4,91292,65081,365168,104844
142,2025-11-11,Lenovo,IdeaPad 3,Student,Chandigarh,Punjab,2,172836,112955,345672,119762
143,2024-02-18,MSI,Katana GF66,Business,Delhi,Gujarat,3,88539,69183,265617,58068
144,2022-03-26,Apple,MacBook Pro 14,Business,Ahmedabad,Punjab,4,130984,100360,523936,122496
145,2023-11-03,HP,Victus 16,Gaming,Hyderabad,Maharashtra,2,166962,111976,333924,109972
146,2023-05-13,Apple,MacBook Pro 16,Gaming,Chandigarh,Gujarat,4,67823,53302,271292,58084
147,2022-01-17,Acer,Predator Helios 300,Ultrabook,Pune,Gujarat,2,142695,103357,285390,78676
148,2024-01-20,Apple,MacBook Pro 14,Workstation,Ahmedabad,Delhi,3,95544,63253,286632,96873
149,2025-08-29,MSI,Stealth 15M,Ultrabook,Bengaluru,West Bengal,4,110284,71859,441136,153700
150,2024-08-29,Asus,ZenBook 14,Ultrabook,Bengaluru,Gujarat,2,94669,73191,189338,42956
151,2023-12-07,Samsung,Galaxy Book Pro,Student,Chandigarh,Tamil Nadu,3,125122,96054,375366,87204
152,2023-09-14,Acer,Nitro 5,Business,Chennai,Rajasthan,1,132263,110476,132263,21787
153,2026-01-30,Dell,G15,Student,Pune,Tamil Nadu,2,175681,138557,351362,74248
154,2023-06-18,Asus,ROG Strix G15,Student,Delhi,Rajasthan,3,153307,130187,459921,69360
155,2025-08-02,Apple,MacBook Air M1,Gaming,Hyderabad,West Bengal,4,118969,95365,475876,94416
156,2024-10-29,HP,Envy x360,Ultrabook,Jaipur,Maharashtra,5,178665,143295,893325,176850
157,2023-12-03,HP,Victus 16,2-in-1,Hyderabad,Karnataka,3,67467,49549,202401,53754
158,2022-12-30,Acer,Swift 3,2-in-1,Pune,Telangana,5,155919,109971,779595,229740
159,2025-06-19,Samsung,Galaxy Book Pro,Business,Jaipur,Karnataka,3,133138,105958,399414,81540
160,2024-09-07,MSI,Katana GF66,Workstation,Chandigarh,Telangana,2,67847,46730,135694,42234
161,2025-10-11,Asus,ROG Strix G15,Business,Hyderabad,Telangana,4,63315,42906,253260,81636
162,2022-08-17,Samsung,Galaxy Book3,Ultrabook,Jaipur,Delhi,4,76965,57990,307860,75900
163,2024-02-11,Lenovo,Yoga Slim 7,Business,Pune,West Bengal,3,71479,53200,214437,54837
164,2024-04-16,MSI,GF63 Thin,Student,Jaipur,Karnataka,2,143825,113360,287650,60930
165,2024-05-18,Dell,G15,Ultrabook,Kolkata,Rajasthan,1,54971,41754,54971,13217
166,2026-01-08,Asus,TUF F15,2-in-1,Jaipur,Rajasthan,1,62712,53099,62712,9613
167,2025-11-21,Samsung,Galaxy Book2,Ultrabook,Pune,West Bengal,5,124020,88320,620100,178500
168,2024-03-07,Apple,MacBook Air M2,Business,Bengaluru,Maharashtra,2,116145,89451,232290,53388
169,2024-12-16,Dell,XPS 13,Ultrabook,Chandigarh,Rajasthan,3,69697,54240,209091,46371
170,2025-09-12,MSI,GF63 Thin,2-in-1,Jaipur,Karnataka,2,64247,44661,128494,39172
171,2025-04-28,Apple,MacBook Air M2,Ultrabook,Mumbai,Gujarat,5,86125,72261,430625,69320
172,2022-02-11,Apple,MacBook Air M2,Workstation,Ahmedabad,Delhi,3,97758,76155,293274,64809
173,2024-04-02,HP,Envy x360,2-in-1,Kolkata,Karnataka,3,134133,100874,402399,99777
174,2023-06-07,Acer,Predator Helios 300,Gaming,Ahmedabad,Telangana,3,128716,86050,386148,127998
175,2025-03-12,Lenovo,Yoga Slim 7,Workstation,Pune,Karnataka,4,156436,130421,625744,104060
176,2022-03-06,Lenovo,Legion 5,2-in-1,Mumbai,West Bengal,3,45678,37734,137034,23832
177,2023-02-24,HP,Pavilion 14,Business,Mumbai,Delhi,1,61205,41822,61205,19383
178,2026-01-09,HP,Envy x360,Workstation,Chandigarh,Gujarat,1,99179,75039,99179,24140
179,2022-06-17,Apple,MacBook Pro 16,Ultrabook,Hyderabad,Maharashtra,4,129513,104350,518052,100652
180,2024-12-18,HP,Pavilion 14,Ultrabook,Kolkata,Rajasthan,1,99768,74884,99768,24884
181,2024-05-21,Samsung,Galaxy Book3,2-in-1,Hyderabad,Tamil Nadu,3,136612,113811,409836,68403
182,2024-05-25,Samsung,Galaxy Book2,Business,Mumbai,Karnataka,2,97017,81859,194034,30316
183,2024-01-22,Lenovo,ThinkPad E14,Ultrabook,Hyderabad,Rajasthan,1,51573,38404,51573,13169
184,2022-08-09,Dell,Latitude 5420,Student,Ahmedabad,Punjab,3,47499,35451,142497,36144
185,2022-07-27,Asus,ROG Strix G15,Workstation,Bengaluru,Gujarat,5,111241,83488,556205,138765
186,2024-06-14,MSI,Stealth 15M,Business,Kolkata,Maharashtra,5,154182,126446,770910,138680
187,2023-03-04,HP,Victus 16,Student,Pune,Tamil Nadu,5,51437,40434,257185,55015
188,2025-11-25,Apple,MacBook Pro 16,Gaming,Chandigarh,Telangana,4,66424,54744,265696,46720
189,2022-02-11,Apple,MacBook Pro 16,2-in-1,Delhi,Rajasthan,5,71049,58349,355245,63500
190,2022-04-11,HP,Envy x360,Workstation,Jaipur,Rajasthan,3,40012,30598,120036,28242
191,2023-07-11,HP,EliteBook 840,2-in-1,Jaipur,Gujarat,4,170843,112008,683372,235340
192,2026-02-16,HP,EliteBook 840,Ultrabook,Ahmedabad,West Bengal,5,158541,126551,792705,159950
193,2025-01-24,HP,EliteBook 840,Ultrabook,Chennai,West Bengal,4,92888,75218,371552,70680
194,2025-03-25,Acer,Nitro 5,Ultrabook,Mumbai,Gujarat,1,86534,72511,86534,14023
195,2024-06-19,Dell,Latitude 5420,2-in-1,Hyderabad,Telangana,1,72399,50452,72399,21947
196,2022-11-01,MSI,GF63 Thin,Student,Delhi,Tamil Nadu,3,146199,117942,438597,84771
197,2025-04-21,HP,Envy x360,Workstation,Jaipur,Tamil Nadu,1,111132,88004,111132,23128
198,2022-08-23,MSI,GF63 Thin,Student,Bengaluru,Maharashtra,4,130966,103478,523864,109952
199,2023-07-13,Acer,Nitro 5,Ultrabook,Kolkata,Maharashtra,4,139322,109381,557288,119764
200,2022-04-20,Dell,G15,Student,Jaipur,Karnataka,2,49357,32458,98714,33798
201,2023-07-01,MSI,Katana GF66,Gaming,Jaipur,Tamil Nadu,2,160870,113575,321740,94590
202,2025-10-26,Asus,ZenBook 14,Workstation,Kolkata,Rajasthan,3,98767,77431,296301,64008
203,2024-05-31,Samsung,Galaxy Book Pro,Business,Chennai,Punjab,2,155099,128172,310198,53854
204,2023-03-16,Samsung,Galaxy Book Pro,Student,Delhi,Gujarat,5,178238,135767,891190,212355
205,2024-05-07,Dell,G15,Gaming,Ahmedabad,Delhi,4,69733,53436,278932,65188
206,2023-05-17,Asus,VivoBook 15,Workstation,Jaipur,Punjab,4,146864,111730,587456,140536
207,2025-05-03,Lenovo,ThinkPad E14,Ultrabook,Bengaluru,Tamil Nadu,1,109099,73815,109099,35284
208,2024-02-22,MSI,Stealth 15M,Business,Bengaluru,Telangana,4,93921,77177,375684,66976
209,2024-02-02,Asus,VivoBook 15,2-in-1,Bengaluru,Gujarat,4,97048,79270,388192,71112
210,2025-07-10,Asus,ROG Strix G15,2-in-1,Bengaluru,Tamil Nadu,1,95149,72759,95149,22390
211,2023-06-13,Lenovo,Yoga Slim 7,Workstation,Ahmedabad,Karnataka,2,55709,41346,111418,28726
212,2024-09-04,MSI,Stealth 15M,Gaming,Jaipur,Telangana,3,102026,75941,306078,78255
213,2022-05-07,Samsung,Galaxy Book3,Ultrabook,Pune,Karnataka,5,113806,96705,569030,85505
214,2024-01-18,Asus,TUF F15,Student,Pune,Maharashtra,3,133747,113385,401241,61086
215,2023-01-25,Acer,Nitro 5,Student,Chandigarh,Gujarat,5,40324,32363,201620,39805
216,2024-06-07,Apple,MacBook Pro 14,2-in-1,Delhi,Gujarat,1,73127,53819,73127,19308
217,2023-11-12,Lenovo,ThinkPad E14,Business,Chennai,West Bengal,4,68631,55673,274524,51832
218,2023-10-25,Samsung,Galaxy Book2,Workstation,Chandigarh,Punjab,3,135277,113010,405831,66801
219,2024-12-12,Dell,XPS 13,Gaming,Chandigarh,West Bengal,4,89796,60940,359184,115424
220,2025-06-28,Lenovo,IdeaPad 3,Ultrabook,Pune,Gujarat,4,42311,27955,169244,57424
221,2024-07-13,Acer,Aspire 7,Ultrabook,Bengaluru,West Bengal,5,116434,88640,582170,138970
222,2026-02-09,Dell,XPS 13,Business,Chandigarh,Karnataka,2,79422,51820,158844,55204
223,2023-04-27,Lenovo,Yoga Slim 7,2-in-1,Jaipur,Karnataka,4,141349,107547,565396,135208
224,2022-09-13,HP,Pavilion 14,Student,Bengaluru,Delhi,3,119997,87689,359991,96924
225,2025-10-22,Samsung,Galaxy Book3,2-in-1,Hyderabad,Maharashtra,2,137848,112786,275696,50124
226,2023-09-10,Asus,VivoBook 15,Student,Kolkata,Tamil Nadu,1,42152,35410,42152,6742
227,2023-11-12,Asus,VivoBook 15,Ultrabook,Mumbai,Tamil Nadu,5,85691,60624,428455,125335
228,2022-12-07,HP,Victus 16,Ultrabook,Pune,Maharashtra,2,56557,46667,113114,19780
229,2025-02-26,HP,Victus 16,Business,Mumbai,Karnataka,3,116616,96499,349848,60351
230,2026-02-15,MSI,Stealth 15M,2-in-1,Hyderabad,Maharashtra,5,82303,56490,411515,129065
231,2023-12-02,Samsung,Galaxy Book3,Workstation,Mumbai,Karnataka,1,171699,129598,171699,42101
232,2024-05-07,Dell,Inspiron 15,Ultrabook,Hyderabad,Telangana,2,57105,39856,114210,34498
233,2023-02-20,Asus,VivoBook 15,Student,Pune,Rajasthan,5,87548,60677,437740,134355
234,2024-10-01,MSI,Katana GF66,Gaming,Jaipur,Tamil Nadu,1,103380,84859,103380,18521
235,2024-07-24,HP,Pavilion 14,Student,Mumbai,Maharashtra,2,151986,119332,303972,65308
236,2025-01-10,Samsung,Galaxy Book Pro,Workstation,Kolkata,Delhi,4,136017,102700,544068,133268
237,2025-02-28,Asus,ZenBook 14,Ultrabook,Delhi,Maharashtra,4,114223,96867,456892,69424
238,2022-06-07,Lenovo,Legion 5,2-in-1,Bengaluru,Karnataka,1,109153,76462,109153,32691
239,2022-04-16,Dell,XPS 13,Workstation,Delhi,Maharashtra,2,140434,92274,280868,96320
240,2022-04-11,Acer,Swift 3,2-in-1,Kolkata,Gujarat,1,166132,137725,166132,28407
241,2023-08-14,Apple,MacBook Air M1,Gaming,Ahmedabad,Karnataka,3,52944,35750,158832,51582
242,2024-12-04,Acer,Nitro 5,Business,Chennai,Punjab,4,126988,102382,507952,98424
243,2022-07-10,Asus,TUF F15,Workstation,Ahmedabad,Delhi,3,71623,51052,214869,61713
244,2024-09-10,Samsung,Galaxy Book Pro,2-in-1,Bengaluru,West Bengal,2,156282,125160,312564,62244
245,2023-05-06,Samsung,Galaxy Book Pro,Gaming,Hyderabad,Delhi,4,119502,86548,478008,131816
246,2025-12-05,HP,Envy x360,Gaming,Bengaluru,Telangana,5,162553,125696,812765,184285
247,2024-01-14,Dell,XPS 13,2-in-1,Jaipur,Rajasthan,5,121469,87368,607345,170505
248,2025-07-29,MSI,GF63 Thin,Business,Jaipur,Karnataka,1,63221,49371,63221,13850
249,2022-03-15,Dell,Inspiron 15,Ultrabook,Hyderabad,Delhi,4,148456,125383,593824,92292
250,2025-05-06,Apple,MacBook Air M2,2-in-1,Delhi,Tamil Nadu,4,155063,102947,620252,208464
251,2022-04-13,HP,Victus 16,2-in-1,Ahmedabad,Rajasthan,4,58381,48035,233524,41384
252,2024-03-21,Samsung,Galaxy Book3,Gaming,Chandigarh,Karnataka,3,85003,61281,255009,71166
253,2023-06-30,Dell,XPS 13,2-in-1,Kolkata,West Bengal,5,44812,36408,224060,42020
254,2023-05-13,Lenovo,ThinkPad E14,Business,Bengaluru,Gujarat,4,76248,51078,304992,100680
255,2023-11-06,Dell,XPS 13,Business,Chennai,Karnataka,2,176261,115745,352522,121032
256,2025-08-31,Dell,Latitude 5420,Business,Ahmedabad,West Bengal,5,68427,52794,342135,78165
257,2022-03-07,Dell,Inspiron 15,Student,Kolkata,West Bengal,2,76160,60864,152320,30592
258,2022-12-25,Acer,Nitro 5,Business,Delhi,Karnataka,4,156535,125590,626140,123780
259,2023-04-05,Samsung,Galaxy Book3,Ultrabook,Jaipur,Karnataka,3,110311,75359,330933,104856
260,2023-02-22,Asus,TUF F15,Business,Mumbai,Rajasthan,3,93140,73504,279420,58908
261,2022-05-11,Samsung,Galaxy Book Pro,2-in-1,Kolkata,Delhi,5,134534,114022,672670,102560
262,2024-03-18,Apple,MacBook Pro 16,2-in-1,Bengaluru,Karnataka,1,43217,29970,43217,13247
263,2022-07-19,Dell,G15,Student,Jaipur,Delhi,4,72404,53637,289616,75068
264,2025-12-02,Samsung,Galaxy Book3,2-in-1,Kolkata,Telangana,5,154671,112880,773355,208955
